91.0551  	2.9
103.0559  	4.3
115.0548  	6.1
119.0519  	2.7
123.0441  	8.5
129.0705  	3.5
131.0486  	10.0
133.0640  	3.2
135.0438  	3.6
137.0618  	6.9
139.0379  	2.7
143.0506  	7.3
145.0666  	2.4
146.0601  	3.6
147.0449  	21.8
149.0611 	18.2
152.0713 	6.7
157.0667  	4.3
161.0607  	74.0
164.0717  	17.3
165.0538  	13.8
175.0769  	8.7
181.0514  	2.0
193.0501  	22.7
199.1125  	5.8
203.1072  	9.0
205.1221  	2.4
217.1227  	42.6
219.1366  	3.9
221.1188  	8.7
227.1057  	2.0
232.1342  	3.1
234.1503  	100.0
235.1335  	2.4
236.1655  	26.9
245.1159  	4.7
263.1263  	3.3
280.1537  	44.5
